Date,Open,High,Low,Close,Adj Close,Volume
2022-06-30,73.320000,74.279999,72.580002,73.599998,72.400093,6930000
2022-07-01,72.989998,74.230003,72.190002,74.120003,72.911629,8217100
2022-07-05,72.169998,72.639999,71.110001,72.629997,71.445915,9706500
2022-07-06,72.550003,73.300003,71.760002,73.089996,71.898415,8301000
2022-07-07,73.989998,74.500000,73.529999,73.739998,72.537819,4948600
2022-07-08,73.849998,73.970001,72.629997,73.019997,71.829559,4091300
2022-07-11,72.279999,73.150002,72.150002,72.820000,71.632820,4143800
2022-07-12,72.510002,73.639999,72.419998,72.680000,71.495102,6803400
2022-07-13,71.489998,72.680000,71.129997,72.260002,71.081955,9999400
2022-07-14,70.910004,70.989998,69.980003,70.930000,69.773628,7506200
2022-07-15,72.080002,72.290001,71.160004,72.040001,70.865540,5167000
2022-07-18,72.980003,73.320000,71.940002,72.209999,71.032761,3766700
2022-07-19,73.010002,74.580002,72.930000,74.410004,73.196907,5642400
2022-07-20,74.309998,74.870003,73.989998,74.540001,73.324783,4691700
2022-07-21,74.410004,75.620003,74.070000,75.599998,74.367493,4700900
2022-07-22,76.059998,76.449997,74.720001,75.059998,73.836304,5403700
2022-07-25,75.260002,75.470001,74.760002,75.370003,74.141258,3864900
2022-07-26,74.980003,75.300003,74.570000,74.860001,73.639565,3851900
2022-07-27,74.330002,76.059998,73.970001,75.760002,74.524887,5851600
2022-07-28,76.120003,77.180000,75.949997,77.099998,75.843040,5916000
2022-07-29,77.650002,78.339996,77.349998,78.129997,76.856247,4629000
2022-08-01,77.760002,77.820000,76.940002,77.500000,76.236519,5205800
2022-08-02,77.110001,77.790001,76.279999,76.709999,75.459396,5683700
2022-08-03,77.129997,77.320000,76.139999,76.790001,75.538101,4798700
2022-08-04,76.910004,77.500000,76.449997,76.839996,75.587280,3449400
2022-08-05,76.230003,77.440002,76.120003,77.110001,75.852882,2946000
2022-08-08,78.050003,78.639999,77.489998,77.540001,76.275871,4707100
2022-08-09,77.669998,77.699997,76.889999,77.160004,75.902069,6993600
2022-08-10,78.660004,79.800003,78.639999,79.349998,78.056358,4264100
2022-08-11,80.080002,80.629997,79.519997,79.620003,78.321960,3064600
2022-08-12,79.870003,81.139999,79.720001,81.120003,79.797508,3723600
2022-08-15,80.260002,81.190002,79.989998,81.070000,79.748322,3190100
2022-08-16,80.839996,81.870003,80.830002,81.519997,80.190987,2605700
2022-08-17,80.610001,80.790001,79.970001,80.400002,79.089249,4079800
2022-08-18,80.720001,80.849998,80.129997,80.650002,79.335167,2281400
2022-08-19,80.209999,80.209999,78.879997,79.169998,77.879295,3317200
2022-08-22,77.940002,78.339996,77.629997,77.910004,76.639839,3516000
2022-08-23,77.919998,79.070000,77.919998,78.680000,77.397285,4920000
2022-08-24,78.580002,79.139999,78.360001,78.849998,77.564507,2889100
2022-08-25,79.389999,80.669998,79.389999,80.639999,79.325325,3065400
2022-08-26,80.820000,80.889999,78.110001,78.169998,76.895599,4332900
2022-08-29,77.309998,78.260002,77.120003,77.620003,76.354576,3599400
2022-08-30,77.820000,77.870003,75.900002,76.349998,75.105263,3701300
2022-08-31,76.480003,76.480003,75.379997,75.410004,74.180595,5025400
2022-09-01,74.500000,74.629997,73.510002,74.419998,73.206734,5898000
2022-09-02,75.519997,76.110001,74.019997,74.349998,73.137871,7067100
2022-09-06,74.779999,75.050003,73.790001,74.120003,72.911629,6275600
2022-09-07,73.919998,76.300003,73.750000,76.169998,74.928207,6096000
2022-09-08,75.410004,76.970001,75.139999,76.910004,75.656151,4398300
2022-09-09,77.680000,78.290001,77.470001,78.070000,76.797234,3648300
2022-09-12,78.870003,79.180000,78.320000,78.800003,77.515327,4049500
2022-09-13,76.790001,77.660004,75.800003,75.989998,74.751137,4702000
2022-09-14,75.650002,75.730003,74.330002,75.059998,73.836304,5781200
2022-09-15,74.769997,75.550003,73.940002,74.070000,72.862450,5208700
2022-09-16,73.070000,73.180000,72.110001,72.900002,71.711517,8132700
2022-09-19,71.699997,73.790001,71.610001,73.690002,72.898628,5161700
2022-09-20,72.690002,72.690002,71.750000,72.290001,71.513664,4774800
2022-09-21,72.809998,72.959999,70.680000,70.709999,69.950630,8883700
2022-09-22,71.000000,71.199997,69.809998,69.860001,69.109756,5876500
2022-09-23,68.660004,68.750000,67.410004,68.430000,67.695114,7005100
2022-09-26,67.940002,68.809998,66.980003,67.320000,66.597038,7489000
2022-09-27,68.180000,68.570000,66.849998,67.470001,66.745430,7078900
2022-09-28,67.830002,69.529999,67.570000,69.209999,68.466736,6753900
2022-09-29,68.550003,68.550003,67.199997,68.190002,67.457695,5727300
2022-09-30,68.139999,69.269997,67.800003,68.010002,67.279625,5410400
2022-10-03,69.099998,70.739998,68.709999,70.220001,69.465897,9929000
2022-10-04,71.629997,72.879997,71.510002,72.800003,72.018181,15125100
2022-10-05,71.779999,72.570000,71.169998,71.980003,71.206993,9214900
2022-10-06,71.419998,72.180000,71.040001,71.220001,70.455154,11976800
2022-10-07,70.629997,70.779999,69.010002,69.459999,68.714050,5091900
2022-10-10,69.730003,70.019997,69.150002,69.610001,68.862442,5195600
2022-10-11,69.029999,70.199997,68.580002,69.070000,68.328247,6959400
2022-10-12,69.089996,69.160004,68.510002,68.550003,67.813828,8014600
2022-10-13,67.209999,70.879997,66.860001,70.559998,69.802238,9723200
2022-10-14,71.019997,71.169998,68.059998,68.180000,67.447800,8297600
2022-10-17,69.559998,70.349998,69.470001,69.879997,69.129539,5735700
2022-10-18,71.559998,72.000000,70.459999,71.250000,70.484825,7979400
2022-10-19,70.730003,71.320000,69.980003,70.410004,69.653854,4345100
2022-10-20,70.510002,71.779999,69.730003,69.900002,69.149330,5708300
2022-10-21,69.769997,72.419998,69.699997,72.320000,71.543343,8340300
2022-10-24,72.610001,73.000000,71.760002,71.900002,71.127846,6737400
2022-10-25,71.949997,73.730003,71.860001,73.680000,72.888733,6001300
2022-10-26,74.099998,74.970001,73.580002,74.199997,73.403145,6765300
2022-10-27,74.309998,74.889999,73.870003,74.010002,73.215195,4977000
2022-10-28,73.779999,74.900002,73.419998,74.750000,73.947243,4627400
2022-10-31,74.339996,74.949997,73.970001,74.080002,73.284439,4791700
